rank,stadium,capacity,region,country,city,images,home_team,location
161.0,Bobby Dodd Stadium,55000.0,North America,United States,Atlanta,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Georgia Tech Yellow Jackets football,"[33.772476, -84.392958895]"
162.0,Johan Cruijff Arena,54990.0,Europe,Netherlands,Amsterdam,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,AFC Ajax,"[52.31435305, 4.9428430891]"
163.0,Tianhe Stadium,54856.0,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[23.1405033, 113.3193596629]"
164.0,Stadio Diego Armando Maradona,54726.0,Europe,Italy,Naples,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,SSC Napoli,"[40.82797725, 14.1928889639]"
165.0,Tianjin Olympic Sports Centre Stadium,54696.0,East Asia,China,Tianjin,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Tianjin Teda,"[39.3032619, 117.4163641]"
166.0,MERKUR SPIEL-ARENA,54600.0,Europe,Germany,Düsseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Fortuna Düsseldorf,"[51.26162905, 6.7331516101]"
167.0,Boris Paitchadze Dinamo Arena,54549.0,West Asia,Georgia,Tbilisi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Georgia national football team, FC Dinamo Tbilisi","[41.7230795, 44.7898057922]"
168.0,Wuhan Sports Centre Stadium,54357.0,East Asia,China,"Wuhan, Hubei",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[30.50246795, 114.1661280796]"
169.0,BC Place Stadium,54320.0,North America,Canada,"Vancouver, British Columbia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Vancouver Whitecaps FC, BC Lions","[49.2770655, -123.1095645]"
170.0,Yankee Stadium,54251.0,North America,United States,New York City,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"New York Yankees, New York City FC","[40.82958275, -73.9265211849]"
171.0,Hrazdan Stadium,54208.0,West Asia,Armenia,Yerevan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"FC Ararat Yerevan, Ulisses FC","[40.18036705, 44.4946722922]"
172.0,BORUSSIA-PARK,54057.0,Europe,Germany,Mönchengladbach,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Borussia Mönchengladbach,"[51.17462495, 6.3854093679]"
173.0,Moses Mabhida Stadium,54000.0,Africa,South Africa,"Durban, KwaZulu-Natal",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"AmaZulu FC, Cell C Durban Sharks","[-29.8290201, 31.031374086]"
174.0,Busan Asiad Main Stadium,53864.0,East Asia,South Korea,Busan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Busan IPark,"[35.1900767, 129.0595481429]"
175.0,Estádio Estadual Jornalista Edgar Augusto Proença,53645.0,South America,Brazil,"Belém, Pará",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem","[-1.3811727, -48.4439318073]"
176.0,Estadio Único Diego Armando Maradona,53600.0,South America,Argentina,La Plata,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"[-34.91384075, -57.9890476248]"
