rank,stadium,capacity,region,country,city,images,home_team
275,Stadion Harapan Banga,"45,000",Southeast Asia,Indonesia,"Banda Aceh, Aceh",no image,"Persiraja, Aceh United"
276,Estadio General Pablo Rojas,"45,000",South America,Paraguay,Asunción,,Club Cerro Porteño
277,Stade Mohammed V,"45,000",Africa,Morocco,Casablanca,,"Wydad, Raja"
278,Latakia Sports City Stadium,"45,000",West Asia,Syria,Latakia,no image,
279,Zibo Sports Centre Stadium,"45,000",East Asia,China,"Zibo, Shandong",no image,
280,Weifang Sports Centre Stadium,"45,000",East Asia,China,"Weifang, Shandong",no image,
281,Yantai Sports Park Stadium,"45,000",East Asia,China,"Yantai, Shandong",no image,
282,Stadium Tuanku Abdul Rahman,"45,000",Southeast Asia,Malaysia,Seremban,,"ATM FA, Negeri Sembilan"
283,Stade du Complexe sportif de Fès,"45,000",Africa,Morocco,Fes,,"Wydad de Fès, Maghreb de Fès"
284,Lagos National Stadium,"45,000",Africa,Nigeria,Lagos,no image,Nigeria national football team
285,Egyptian Army Stadium,"45,000",Africa,Egypt,Suez,no image,
286,Toyota Stadium,"45,000",East Asia,Japan,"Toyota City, Aichi",,"Nagoya Grampus, Toyota Verblitz"
287,Zayed Sports City Stadium,"45,000",West Asia,United Arab Emirates,Abu Dhabi,,
288,Red Bull Arena,"44,345",Europe,Germany,Leipzig,,RB Leipzig
289,Estádio Governador Alberto Tavares Silva,"44,200",South America,Brazil,Teresina,,"River AC, EC Flamengo, Piauí EC, SE Tiradentes, Auto EC"
290,Estádio Universitário Pedro Pedrossian,"44,200",South America,Brazil,"Campo Grande, Mato Grosso do Sul",,"EC Comercial, Operário FC"
291,Ulsan Munsu Football Stadium,"44,102",East Asia,South Korea,Ulsan,,Ulsan HD FC
292,Arena Pantanal,"44,097",South America,Brazil,"Cuiabá, Mato Grosso",,"Cuiabá, Mixto EC"
293,Arena da Amazônia,"44,000",South America,Brazil,"Manaus, Amazonas",,Nacional FC
294,Suwon World Cup Stadium,"43,959",East Asia,South Korea,Suwon,,Suwon Samsung Bluewings
295,Stadion Utama Riau,"43,923",Southeast Asia,Indonesia,"Pekanbaru, Riau",,PSPS Pekanbaru
296,Allianz Parque,"43,713",South America,Brazil,"São Paulo, São Paulo",,SE Palmeiras
297,Shandong Provincial Stadium,"43,700",East Asia,China,"Jinan, Shandong",,
